category_order,category_chinese,category_slug,item_order,article_title_chinese,title_english,selected_quality,available_qualities,source_size_bytes,source_size_mib,width,height,resolution,duration_seconds,duration_minutes,bit_rate_kbps,codec,article_url,source_mp4_url,recommended_output_path,probe_error
8,太极养生杖,08_taiji-health-stick,7,6第二式 轻舟缓行,Form 2 Light Boat Moves Slowly,SD,"LD,SD",56390272,53.78,1280,720,1280x720,274.944,4.58,1640.8,h264,https://wtl.sz.gov.cn/ztzl_78228/tszl/wlzgj/tj/content/post_8563133.html,https://gdvideo.southcn.com/a181ef287f194d0c9ee0afb93e68266f/5cdf435b7f4b492691089bcb23e98313-5c17efeb10af384a295e2f127c3591b2-sd.mp4,video/08_taiji-health-stick/007_form-2-light-boat-moves-slowly.mp4,
8,太极养生杖,08_taiji-health-stick,8,7第三式 风摆荷叶,Form 3 Wind Sways Lotus Leaves,SD,"LD,SD",72882312,69.51,1280,720,1280x720,356.395,5.94,1636.0,h264,https://wtl.sz.gov.cn/ztzl_78228/tszl/wlzgj/tj/content/post_8563116.html,https://gdvideo.southcn.com/ddeb9a38cbcc4b64b8f0f04e3c968c6e/11107f60c8f9406a9ff61140ad863d0c-553575ceae112101ef065e5f2a54b01f-sd.mp4,video/08_taiji-health-stick/008_form-3-wind-sways-lotus-leaves.mp4,
8,太极养生杖,08_taiji-health-stick,9,8第四式 船夫背纤,Form 4 Boatman Hauls the Towline,SD,"LD,SD",88227529,84.14,1280,720,1280x720,427.904,7.13,1649.5,h264,https://wtl.sz.gov.cn/ztzl_78228/tszl/wlzgj/tj/content/post_8563058.html,https://gdvideo.southcn.com/c31d86c547c949519ab8519a0ae0928b/f389a774614d4e7c85a4669fe1546d2f-b22f99edfb84450e0bbbe451403a0bac-sd.mp4,video/08_taiji-health-stick/009_form-4-boatman-hauls-the-towline.mp4,
8,太极养生杖,08_taiji-health-stick,10,9第五式 神针定海,Form 5 Divine Needle Calms the Sea,LD,LD,51174487,48.8,960,540,960x540,399.765,6.66,1024.1,h264,https://wtl.sz.gov.cn/ztzl_78228/tszl/wlzgj/tj/content/post_8563045.html,https://gdvideo.southcn.com/eceb2b73aaad4b00b11dd4714c0a135d/915ab4c2197e48979e09903f070ca328-a92655654604f0763eacaeb086d1d842-ld.mp4,video/08_taiji-health-stick/010_form-5-divine-needle-calms-the-sea.mp4,
8,太极养生杖,08_taiji-health-stick,11,10第六式 金龙绞尾,Form 6 Golden Dragon Twists Tail,SD,"LD,SD",81238397,77.47,1280,720,1280x720,393.195,6.55,1652.9,h264,https://wtl.sz.gov.cn/ztzl_78228/tszl/wlzgj/tj/content/post_8563034.html,https://gdvideo.southcn.com/dc9b85065f324f7882637d20386c1a76/81a85ab94402483cb3ea9f9908253d17-5b70765194f7e8f8ebcef83647d47ccc-sd.mp4,video/08_taiji-health-stick/011_form-6-golden-dragon-twists-tail.mp4,
8,太极养生杖,08_taiji-health-stick,12,11第七式 探海寻宝,Form 7 Seek Treasure in the Sea,SD,"LD,SD",79688540,76.0,1280,720,1280x720,389.248,6.49,1637.8,h264,https://wtl.sz.gov.cn/ztzl_78228/tszl/wlzgj/tj/content/post_8563019.html,https://gdvideo.southcn.com/8326a909b43846b9a535fce4d617768c/2784976cd7764596a45a3e78b244af11-4bf061f72a4d1be5e8ebf4b920538a3f-sd.mp4,video/08_taiji-health-stick/012_form-7-seek-treasure-in-the-sea.mp4,
8,太极养生杖,08_taiji-health-stick,13,12第八式 气功丹田,Form 8 Qigong Dantian,SD,"LD,SD",36531595,34.84,1280,720,1280x720,182.677,3.04,1599.8,h264,https://wtl.sz.gov.cn/ztzl_78228/tszl/wlzgj/tj/content/post_8563011.html,https://gdvideo.southcn.com/d48fd9e4083b48c3b7946fdaa8ba3ddb/e865e2376cb14a5da4801e7fac283aab-39871016c19f7e988487b5c3eb325a50-sd.mp4,video/08_taiji-health-stick/013_form-8-qigong-dantian.mp4,
8,太极养生杖,08_taiji-health-stick,14,13收势,Closing Posture,SD,"LD,SD",16371669,15.61,1280,720,1280x720,82.005,1.37,1597.1,h264,https://wtl.sz.gov.cn/ztzl_78228/tszl/wlzgj/tj/content/post_8563008.html,https://gdvideo.southcn.com/80f24b48ed6945f0a677f329a82cd939/6c9ea3c3c9304ba9947d4e23b553d931-7f6586f41479b8c9e1b608943168bbc3-sd.mp4,video/08_taiji-health-stick/014_closing-posture.mp4,
9,马王堆导引术,09_mawangdui-daoyin,1,马王堆导引术全套功法演示,Complete Routine Demonstration,SD,"LD,SD",233392094,222.58,1280,720,1280x720,1163.136,19.39,1605.3,h264,https://wtl.sz.gov.cn/ztzl_78228/tszl/wlzgj/mwd/content/post_10668673.html,https://gdvideo.southcn.com/134d8e8f9fa642ccafba27bb08bc39e4/ed559e9f25ec4d9c9daf8eac9c877f1f-b9c60ec8b2f4cb9f28e9c04303afcbee-sd.mp4,video/09_mawangdui-daoyin/001_complete-routine-demonstration.mp4,
9,马王堆导引术,09_mawangdui-daoyin,2,1马王堆导引术 功法源流,Origin and History,SD,"LD,SD",37082704,35.36,1280,720,1280x720,174.64,2.91,1698.7,h264,https://wtl.sz.gov.cn/ztzl_78228/tszl/wlzgj/mwd/content/post_8564187.html,https://gdvideo.southcn.com/079d200581c54499a11bf1b8e9c2b6b0/1e042ebdc4f44b3eba607ce9506df07a-57a5acc6f195253ccc2f466933ac33a4-sd.mp4,video/09_mawangdui-daoyin/002_origin-and-history.mp4,
9,马王堆导引术,09_mawangdui-daoyin,3,2马王堆导引术 功法特点,Characteristics,LD,LD,25482194,24.3,960,540,960x540,204.76,3.41,995.6,h264,https://wtl.sz.gov.cn/ztzl_78228/tszl/wlzgj/mwd/content/post_8564163.html,https://gdvideo.southcn.com/b88c74f67cc24ae2bcf1ded7e27cfad9/84fc776721374c2da6c947bc997e734d-a8488ca70309be546e090b3a2676db8f-ld.mp4,video/09_mawangdui-daoyin/003_characteristics.mp4,
9,马王堆导引术,09_mawangdui-daoyin,4,3马王堆导引术 预备势,Preparatory Posture,SD,"LD,SD",16812968,16.03,1280,720,1280x720,81.56,1.36,1649.1,h264,https://wtl.sz.gov.cn/ztzl_78228/tszl/wlzgj/mwd/content/post_8564152.html,https://gdvideo.southcn.com/154b67a62c724ce297a0542b414a74e2/3054f398f28a4d9881d09995909b25d0-92dfabd7b28796c43dc4b4ee3f11f2a7-sd.mp4,video/09_mawangdui-daoyin/004_preparatory-posture.mp4,
9,马王堆导引术,09_mawangdui-daoyin,5,4马王堆导引术 起势,Opening Posture,LD,LD,27380103,26.11,960,540,960x540,217.429,3.62,1007.4,h264,https://wtl.sz.gov.cn/ztzl_78228/tszl/wlzgj/mwd/content/post_8564150.html,https://gdvideo.southcn.com/5469953721074cc7a223cfd653648c69/359e512a629d4189852d7eded96aee39-b14ad6001e0d1484ff752416ca7160b4-ld.mp4,video/09_mawangdui-daoyin/005_opening-posture.mp4,
9,马王堆导引术,09_mawangdui-daoyin,6,5马王堆导引术 第一式 挽弓,Form 1 Draw the Bow,SD,"LD,SD",56955168,54.32,1280,720,1280x720,273.493,4.56,1666.0,h264,https://wtl.sz.gov.cn/ztzl_78228/tszl/wlzgj/mwd/content/post_8564138.html,https://gdvideo.southcn.com/3a4628e7c0cc43afa9c49ff91a3e2bd7/af1838a5232b45b980cadfab6ae617f4-cedfe558f96993ae5108fe418b08be60-sd.mp4,video/09_mawangdui-daoyin/006_form-1-draw-the-bow.mp4,
9,马王堆导引术,09_mawangdui-daoyin,7,6马王堆导引术 第二式 引背,Form 2 Stretch the Back,SD,"LD,SD",61069537,58.24,1280,720,1280x720,302.379,5.04,1615.7,h264,https://wtl.sz.gov.cn/ztzl_78228/tszl/wlzgj/mwd/content/post_8564137.html,https://gdvideo.southcn.com/b4a7b3e90ea24b329e716e15a8714f43/07f800b37ed04af49a0cba9a731c5c5e-045a0f56e4a9c168c902e91e23842038-sd.mp4,video/09_mawangdui-daoyin/007_form-2-stretch-the-back.mp4,
9,马王堆导引术,09_mawangdui-daoyin,8,7马王堆导引术 第三式 凫浴,Form 3 Wild Duck Bathes,SD,"LD,SD",52242462,49.82,1280,720,1280x720,256.256,4.27,1630.9,h264,https://wtl.sz.gov.cn/ztzl_78228/tszl/wlzgj/mwd/content/post_8564119.html,https://gdvideo.southcn.com/e973a196d63240938503b048a7219a4a/cf40850cd1984c428875f4271be3cc11-8e0de1d6a020353bdc952c0002224995-sd.mp4,video/09_mawangdui-daoyin/008_form-3-wild-duck-bathes.mp4,
9,马王堆导引术,09_mawangdui-daoyin,9,8马王堆导引术 第四式 龙登,Form 4 Dragon Rises,SD,"LD,SD",50843498,48.49,1280,720,1280x720,250.688,4.18,1622.5,h264,https://wtl.sz.gov.cn/ztzl_78228/tszl/wlzgj/mwd/content/post_8564116.html,https://gdvideo.southcn.com/62034d6e47e04454b054daae5e5a9a6a/ac7b2e7779a948fc93a8bf3ac9c4dc85-c90523556e22067371caa887b2dc6abc-sd.mp4,video/09_mawangdui-daoyin/009_form-4-dragon-rises.mp4,
9,马王堆导引术,09_mawangdui-daoyin,10,9马王堆导引术 第五式 鸟伸,Form 5 Bird Stretches,SD,"LD,SD",36323518,34.64,1280,720,1280x720,177.451,2.96,1637.6,h264,https://wtl.sz.gov.cn/ztzl_78228/tszl/wlzgj/mwd/content/post_8564052.html,https://gdvideo.southcn.com/1e0fd1dda9d7405999ba661fdd792a61/c052488faee54461a9eb6b46bb8aac03-8e6649fd3742b58bd577e9bb4e93c2ad-sd.mp4,video/09_mawangdui-daoyin/010_form-5-bird-stretches.mp4,
9,马王堆导引术,09_mawangdui-daoyin,11,10马王堆导引术 第六式 引腹,Form 6 Stretch the Abdomen,LD,LD,34535477,32.94,960,540,960x540,273.8,4.56,1009.1,h264,https://wtl.sz.gov.cn/ztzl_78228/tszl/wlzgj/mwd/content/post_8564050.html,https://gdvideo.southcn.com/4836732210d7406a82d8b97ad0660e47/69ede39bea3041a3ad54839e92c4ad4b-2dade3cbd1b9cf968b5e8074e1f097b8-ld.mp4,video/09_mawangdui-daoyin/011_form-6-stretch-the-abdomen.mp4,
9,马王堆导引术,09_mawangdui-daoyin,12,11马王堆导引术 第七式 鸱视,Form 7 Owl Gazes,SD,"LD,SD",45388082,43.29,1280,720,1280x720,222.36,3.71,1633.0,h264,https://wtl.sz.gov.cn/ztzl_78228/tszl/wlzgj/mwd/content/post_8564049.html,https://gdvideo.southcn.com/e25ee34b33cc48b29e0edea70dd0898e/78bbedd749d74130a719535b4aba4559-63a31bf2272497723908afdca3595d30-sd.mp4,video/09_mawangdui-daoyin/012_form-7-owl-gazes.mp4,
9,马王堆导引术,09_mawangdui-daoyin,13,12马王堆导引术 第八式 引腰,Form 8 Stretch the Waist,LD,LD,47101526,44.92,960,540,960x540,375.04,6.25,1004.7,h264,https://wtl.sz.gov.cn/ztzl_78228/tszl/wlzgj/mwd/content/post_8564047.html,https://gdvideo.southcn.com/cfd3630b3e9f48a58379dff1c7e79860/533a54aad9b74a39b6c274200fbe9e79-872526fdc0b3f088b909964981101d9a-ld.mp4,video/09_mawangdui-daoyin/013_form-8-stretch-the-waist.mp4,
9,马王堆导引术,09_mawangdui-daoyin,14,13马王堆导引术 第九式 雁飞,Form 9 Wild Goose Flies,SD,"LD,SD",55669043,53.09,1280,720,1280x720,275.435,4.59,1616.9,h264,https://wtl.sz.gov.cn/ztzl_78228/tszl/wlzgj/mwd/content/post_8564046.html,https://gdvideo.southcn.com/e6c1c4f4216f4b67a713e22d0114c697/c607e5ffd714430fa14e686e7f04eae7-f66c2a93978d3cdf389235f857852873-sd.mp4,video/09_mawangdui-daoyin/014_form-9-wild-goose-flies.mp4,
